name,title,organization,num_resources,num_tags,license_id,isopen,state,first_resource_url,first_resource_format,first_resource_status,created,modified
precios-por-productos-variedad-del-01-al-27-de-abril-del-año-2017-kg,PRECIOS POR PRODUCTOS VARIEDAD DEL 01 AL 27 DE ABRIL DEL AÑO 2017  KG.,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/prec.mensual_6.xlsx,XLSX,200,"Jue, 04/27/2017 - 14:39","Vie, 07/07/2017 - 20:07"
ingreso-diarios-de-precios-por-variedad-de-producto-en-kg-del-01-al-27-de-abril-del-2017,INGRESO DIARIOS DE PRECIOS POR VARIEDAD  DE PRODUCTO EN KG.  DEL 01 AL 27 DE ABRIL DEL 2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/PRC.ABRIL__6.xlsx,XLSX,200,"Jue, 04/27/2017 - 14:34","Vie, 07/07/2017 - 20:07"
ingreso-diario-de-volumenes-tm-de-productos-al-gmml-del-01-al-28-de-abril-2017,INGRESO DIARIO DE VOLUMENES ( TM ) DE PRODUCTOS AL GMML DEL   01 AL 28  DE  ABRIL  2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.ABRIL__7.xlsx,XLSX,200,"Vie, 04/28/2017 - 12:02","Vie, 07/07/2017 - 20:07"
volumenes-y-procedencias-del-producto-del-01-al-27-de-abril-del-año-2017,VOLUMENES Y PROCEDENCIAS DEL PRODUCTO DEL 01 AL 27 DE ABRIL DEL AÑO:    2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.PROC_.PROD_._6.xlsx,XLSX,200,"Jue, 04/27/2017 - 14:41","Vie, 07/07/2017 - 20:07"
precios-por-productos-variedad-del-01-al-28-de-abril-del-año-2017-kg,PRECIOS POR PRODUCTOS VARIEDAD DEL 01 AL 28 DE ABRIL DEL AÑO 2017  KG.,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/prec.mensual_7.xlsx,XLSX,200,"Vie, 04/28/2017 - 12:09","Vie, 07/07/2017 - 20:07"
ingreso-diarios-de-precios-por-variedad-de-producto-en-kg-del-01-al-28-de-abril-2017,INGRESO DIARIOS DE PRECIOS POR VARIEDAD  DE PRODUCTO EN KG.  DEL 01 AL 28 DE ABRIL 2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/PRC.ABRIL__7.xlsx,XLSX,200,"Vie, 04/28/2017 - 12:05","Vie, 07/07/2017 - 20:07"
volumenes-de-producto-por-varieadad-tm-del-01-al-28-de-abril-del-año-2017,VOLUMENES DE PRODUCTO POR VARIEADAD   TM. DEL 01 AL 28 DE ABRIL DEL AÑO 2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.PROD_._7.xlsx,XLSX,200,"Vie, 04/28/2017 - 12:10","Vie, 07/07/2017 - 20:07"
documentos-normativos,Documentos normativos,Plataforma Nacional de Datos Abiertos,1,3,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/documentos-normativos.csv,CSV,200,"Mar, 05/02/2017 - 15:34","Vie, 06/12/2026 - 10:31"
convenios-interinstitucionales-del-pronabec,Convenios interinstitucionales del Pronabec,Plataforma Nacional de Datos Abiertos,1,3,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/convenios-interinstitucionales.csv,CSV,200,"Mar, 05/02/2017 - 15:48","Vie, 06/12/2026 - 10:32"
volumenes-y-procedencias-del-producto-del-01-al-28-de-abril-del-año-2017,VOLUMENES Y PROCEDENCIAS DEL PRODUCTO DEL 01 AL 28 DE ABRIL DEL AÑO:    2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.PROC_.PROD_._7.xlsx,XLSX,200,"Vie, 04/28/2017 - 12:11","Vie, 07/07/2017 - 20:07"
convocatorias-cas-del-pronabec,Convocatorias CAS del Pronabec,Plataforma Nacional de Datos Abiertos,1,2,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/convocatoria-cas-del-pronabec.csv,CSV,200,"Mar, 05/02/2017 - 15:59","Vie, 06/12/2026 - 10:32"
notas-de-prensa-del-pronabec,Notas de Prensa del Pronabec,Plataforma Nacional de Datos Abiertos,1,2,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/notas-de-prensa-del-pronabec.csv,CSV,200,"Mar, 05/02/2017 - 16:09","Vie, 06/12/2026 - 10:34"
procesos-de-adquisición-y-contratación-del-pronabec,Procesos de Adquisición y Contratación del Pronabec,Plataforma Nacional de Datos Abiertos,1,4,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/procesos-de-adquisicion-y-contratacion.csv,CSV,200,"Mar, 05/02/2017 - 16:15","Vie, 06/12/2026 - 10:35"
entidades-carreras-y-áreas-participantes-en-crédito-18-del-pronabec,"Entidades, Carreras y Áreas participantes en Crédito 18 del Pronabec",Plataforma Nacional de Datos Abiertos,1,4,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/entidad-carrera-area-credito18.csv,CSV,200,"Mar, 05/02/2017 - 16:49","Vie, 06/12/2026 - 10:37"
publicaciones-del-pronabec,Publicaciones del Pronabec,Plataforma Nacional de Datos Abiertos,1,2,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/publicaciones-del-pronabec.csv,CSV,200,"Mar, 05/02/2017 - 16:32","Vie, 06/12/2026 - 10:36"
monedas-de-subvención-pronabec,Monedas de Subvención - PRONABEC,Plataforma Nacional de Datos Abiertos,4,3,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/monedas-de-la-subvencion.csv,CSV,200,"Mar, 05/02/2017 - 16:41","Lun, 08/03/2026 - 19:58"
premios-obtenidos-por-el-pronabec,Premios Obtenidos por el Pronabec,Plataforma Nacional de Datos Abiertos,1,2,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/premios-y-reconocimientos.csv,CSV,200,"Mar, 05/02/2017 - 16:56","Jue, 07/06/2017 - 19:55"
asistencia-la-feria-expoempleo-2015-del-pronabec,Asistencia a la Feria Expoempleo 2015 del Pronabec,Plataforma Nacional de Datos Abiertos,1,2,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/asistencia-feria-expoempleo.csv,CSV,200,"Mar, 05/02/2017 - 17:21","Jue, 07/06/2017 - 19:55"
resoluciones-directorales-ejecutivas-del-pronabec,Resoluciones Directorales Ejecutivas del Pronabec,Plataforma Nacional de Datos Abiertos,1,5,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/rde.csv,CSV,200,"Mar, 05/02/2017 - 17:12","Vie, 06/12/2026 - 10:38"
capacitaciones-realizadas-en-el-pronabec,Capacitaciones realizadas en el Pronabec,Plataforma Nacional de Datos Abiertos,1,2,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/capacitaciones.csv,CSV,200,"Mié, 05/03/2017 - 08:37","Vie, 06/12/2026 - 10:39"
conceptos-de-pago-de-las-subvenciones-de-becas-del-pronabec,Conceptos de pago de las subvenciones de becas del Pronabec,Plataforma Nacional de Datos Abiertos,2,4,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/concepto-de-pago-de-subvenciones.csv,CSV,200,"Mié, 05/03/2017 - 08:53","Mar, 09/12/2017 - 17:09"
