ruc	anio	mes	aduana_codigo	aduana_nombre	agente_codigo	agente_nombre	pais_codigo	pais_nombre	fob_usd	fecha_consulta
20404057805	2025	2	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	NL	NETHERLANDS	218209.28	2026-09-19T22:58:10.718Z
20404057805	2025	2	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	BE	BELGIUM	924518.40	2026-09-19T22:58:10.718Z
20404057805	2025	6	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	CH	SWITZERLAND	182464.00	2026-09-19T22:58:10.718Z
20404057805	2025	6	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	BE	BELGIUM	462259.20	2026-09-19T22:58:10.718Z
20404057805	2025	7	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	NL	NETHERLANDS	2801572.86	2026-09-19T22:58:10.718Z
20404057805	2025	7	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	BE	BELGIUM	1413634.56	2026-09-19T22:58:10.718Z
20404057805	2025	8	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	NL	NETHERLANDS	3361504.51	2026-09-19T22:58:10.718Z
20404057805	2025	8	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	BE	BELGIUM	245107.20	2026-09-19T22:58:10.718Z
20404057805	2025	8	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	IT	ITALY	239229.44	2026-09-19T22:58:10.718Z
20404057805	2025	9	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	BE	BELGIUM	1980281.60	2026-09-19T22:58:10.718Z
20404057805	2025	9	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	NL	NETHERLANDS	2788791.04	2026-09-19T22:58:10.718Z
20404057805	2025	10	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	BE	BELGIUM	133472.00	2026-09-19T22:58:10.718Z
