ruc	registrado	nombre_ppa	fecha_consulta
20490594265	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS ORGANICOS VALLE PAMPAS - APAOVAP	2026-09-20T00:32:24.606Z
20490672835	true	ASOCIACION DE PRODUCTORES FLOR DE PAPA DE CHULLCUISA ALTA - ASOCIACION FLOR DE PAPA	2026-09-20T00:32:24.606Z
20490726196	true	ASOCIACIÓN DE PRODUCTORES AGROPECUARIOS VALLESITO - CHAHUARES	2026-09-20T00:32:24.606Z
20490790447	true	COOPERATIVA SERVICIOS ESPECIALES DE LAS COMUNIDADES CAMPESINAS DE CHUMBIVILCAS LTDA - COOSE - CCCH	2026-09-20T00:32:24.606Z
20490810146	true	COOPERATIVA AGRARIA MACHUPICCHU LTDA - CAGMA LTDA	2026-09-20T00:32:24.606Z
20490822071	true	ASOCIACION DE MODULOS DE MEJORAMIENTO GENETICO DE CAMELIDOS SUDAMERICANOS DE CONDOROMA	2026-09-20T00:32:24.606Z
20490989871	true	ASOCIACIÓN DE PRODUCTORES AGROPECUARIOS TUPAC AMARU - TUNGASUCA	2026-09-20T00:32:24.606Z
20491050960	true	COOPERATIVA AGRARIA INDUSTRIAL DEL VALLE SAGRADO AGROVAS LTDA	2026-09-20T00:32:24.606Z
20491086727	true	ASOCIACION DE PEQUEÑOS PRODUCTORES AGROPECUARIOS Y FORESTALES ORGANICOS ITAHUANIA - MANU	2026-09-20T00:32:24.606Z
20491149664	true	ASOCIACION DE PRODUCTORES VIRGEN DE CONCEPCION - APVC	2026-09-20T00:32:24.606Z
20491164469	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS SUMACC INTI DE HUANCABAMBA - APASIHA	2026-09-20T00:32:24.606Z
20491172135	true	ASOCIACION DE PRODUCTORES DE ALPACAS TAMBOINCA	2026-09-20T00:32:24.606Z
20491199769	true	ASOCIACION DE FRUTICULTORES DE LA MICROCUENCA DE ONGOY LOS AYNIS - AFRUMCO	2026-09-20T00:32:24.606Z
20491204436	true	COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES TESORO CHANKA DE KISHUARA - COOPAGROS - KISHUARA	2026-09-20T00:32:24.606Z
20491248646	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS QUISAGUI - RIO BLANCO	2026-09-20T00:32:24.606Z
20491717221	true	DERIVADOS LACTEOS BARRETO S.R.L.	2026-09-20T00:32:24.606Z
20493934822	true	COOPERATIVA AGRARIA NUEVO AMANECER LTDA.	2026-09-20T00:32:24.606Z
